STAI_Trait
56
50
49
27
35
31
39
52
52
47
38
36
44
60
78
42
41
51
49
41
43
47
54
56
55
38
44
44
67
28
50
50
51
28
47
61
38
36
45
33
74
42
58
41
65
30
44
54
50
52
47
37
39
61
53
37
38
56
41
56
32
32
45
56
52
45
35
60
36
26
55
47
75
37
28
38
50
39
49
67
38
26
33
48
56
56
72
46
37
41
41
35
35
37
59
45
48
39
29
35
41
59
46
58
35
29
33
47
60
53
50
59
24
42
20
45
71
49
50
25
50
44
44
35
39
41
46
34
54
37
42
38
35
33
33
32
49
43
33
37
67
45
66
59
25
27
50
50
53
64
39
48
59
65
56
57
49
43
43
48
48
48
45
50
36
73
39
68
43
35
70
50
38
57
44
44
38
35
38
53
45
32
35
46
53
68
38
49
48
38
42
51
52
49
40
46
45
55
51
25
50
37
37
46
34
48
50
50
42
52
52
53
27
47
47
46
35
35
42
59
39
35
52
32
57
34
44
31
36
57
71
38
57
49
43
38
44
51
43
46
47
39
38
50
37
37
48
49
42
21
33
32
30
47
53
21
46
20
20
46
52
54
34
51
35
39
49
27
24
22
54
54
61
33
58
38
42
41
51
54
56
63
40
51
43
38
48
59
41
35
40
52
30
61
55
65
38
45
41
62
48
43
58
51
48
44
43
59
49
48
44
32
45
55
56
53
47
35
51
49
47
38
40
48
49
60
50
48
71
53
48
48
39
55
55
50
45
53
53
41
62
44
31
49
35
43
40
55
53
44
30
62
62
51
27
41
28
54
51
51
49
34
34
45
31
44
48
61
37
48
56
25
55
41
77
53
49
49
37
46
30
41
37
70
60
62
65
65
41
54
44
48
42
52
49
47
34
62
59
47
41
43
31
47
52
32
52
70
64
48
43
39
37
